
  1%|▉                                                                                                                                                    | 12/1850 [00:01<04:03,  7.56it/s]
{'loss': 3.566, 'grad_norm': 6.623591423034668, 'learning_rate': 0.0002999997837194588, 'epoch': 0.0}
{'loss': 3.5514, 'grad_norm': 6.194034099578857, 'learning_rate': 0.00029999913487845895, 'epoch': 0.01}
{'loss': 3.6944, 'grad_norm': 6.396548271179199, 'learning_rate': 0.0002999980534788715, 'epoch': 0.01}
{'loss': 3.508, 'grad_norm': 6.296335697174072, 'learning_rate': 0.00029999653952381497, 'epoch': 0.01}
{'loss': 3.6734, 'grad_norm': 7.386201858520508, 'learning_rate': 0.0002999945930176552, 'epoch': 0.01}
{'loss': 3.6394, 'grad_norm': 6.394514083862305, 'learning_rate': 0.00029999221396600535, 'epoch': 0.02}
{'loss': 3.1906, 'grad_norm': 6.610838413238525, 'learning_rate': 0.0002999894023757261, 'epoch': 0.02}
{'loss': 3.2921, 'grad_norm': 6.062417030334473, 'learning_rate': 0.00029998615825492525, 'epoch': 0.02}
{'loss': 3.5752, 'grad_norm': 6.3082780838012695, 'learning_rate': 0.000299982481612958, 'epoch': 0.02}
{'loss': 3.2886, 'grad_norm': 6.12556266784668, 'learning_rate': 0.00029997837246042693, 'epoch': 0.03}
{'loss': 3.2441, 'grad_norm': 6.229454040527344, 'learning_rate': 0.00029997383080918174, 'epoch': 0.03}

  1%|██▏                                                                                                                                                  | 27/1850 [00:04<04:25,  6.86it/s]
{'loss': 3.1408, 'grad_norm': 6.706739902496338, 'learning_rate': 0.0002999634500641837, 'epoch': 0.04}
{'loss': 3.2263, 'grad_norm': 6.581601619720459, 'learning_rate': 0.00029995761100036635, 'epoch': 0.04}
{'loss': 3.1254, 'grad_norm': 5.847262382507324, 'learning_rate': 0.00029995133949770546, 'epoch': 0.04}
{'loss': 2.9356, 'grad_norm': 6.872359275817871, 'learning_rate': 0.00029994463557428646, 'epoch': 0.04}
{'loss': 2.9251, 'grad_norm': 6.334460735321045, 'learning_rate': 0.0002999374992494418, 'epoch': 0.05}
{'loss': 3.1655, 'grad_norm': 6.098876953125, 'learning_rate': 0.0002999299305437507, 'epoch': 0.05}
{'loss': 2.745, 'grad_norm': 5.9616241455078125, 'learning_rate': 0.00029992192947903934, 'epoch': 0.05}
{'loss': 2.8597, 'grad_norm': 6.125594139099121, 'learning_rate': 0.00029991349607838075, 'epoch': 0.05}
{'loss': 2.7389, 'grad_norm': 6.790101528167725, 'learning_rate': 0.00029990463036609464, 'epoch': 0.06}
{'loss': 3.01, 'grad_norm': 6.608247756958008, 'learning_rate': 0.00029989533236774753, 'epoch': 0.06}
{'loss': 2.7987, 'grad_norm': 6.179445266723633, 'learning_rate': 0.00029988560211015227, 'epoch': 0.06}
{'loss': 2.6928, 'grad_norm': 6.176044940948486, 'learning_rate': 0.0002998754396213685, 'epoch': 0.06}
{'loss': 2.6942, 'grad_norm': 6.102697372436523, 'learning_rate': 0.00029986484493070223, 'epoch': 0.07}
{'loss': 2.5705, 'grad_norm': 6.466331958770752, 'learning_rate': 0.00029985381806870565, 'epoch': 0.07}

  2%|███▍                                                                                                                                                 | 43/1850 [00:06<03:54,  7.70it/s]
{'loss': 2.6405, 'grad_norm': 6.078884124755859, 'learning_rate': 0.0002998304679591626, 'epoch': 0.08}
{'loss': 2.7661, 'grad_norm': 6.498966217041016, 'learning_rate': 0.00029981814477895167, 'epoch': 0.08}
{'loss': 2.409, 'grad_norm': 5.963674068450928, 'learning_rate': 0.0002998053895620817, 'epoch': 0.08}
{'loss': 2.5818, 'grad_norm': 6.107382774353027, 'learning_rate': 0.00029979220234533537, 'epoch': 0.08}
{'loss': 2.5633, 'grad_norm': 5.834686756134033, 'learning_rate': 0.0002997785831667412, 'epoch': 0.09}
{'loss': 2.5915, 'grad_norm': 6.035457134246826, 'learning_rate': 0.00029976453206557335, 'epoch': 0.09}
{'loss': 2.7101, 'grad_norm': 5.908593654632568, 'learning_rate': 0.00029975004908235157, 'epoch': 0.09}
{'loss': 2.1778, 'grad_norm': 6.152471542358398, 'learning_rate': 0.000299735134258841, 'epoch': 0.09}
{'loss': 2.2279, 'grad_norm': 5.718661785125732, 'learning_rate': 0.00029971978763805216, 'epoch': 0.1}
{'loss': 2.2357, 'grad_norm': 5.847068786621094, 'learning_rate': 0.0002997040092642407, 'epoch': 0.1}
{'loss': 2.4508, 'grad_norm': 5.701157569885254, 'learning_rate': 0.0002996877991829074, 'epoch': 0.1}
{'loss': 2.2182, 'grad_norm': 5.87945556640625, 'learning_rate': 0.0002996711574407978, 'epoch': 0.11}
{'loss': 2.1659, 'grad_norm': 5.844183444976807, 'learning_rate': 0.0002996540840859025, 'epoch': 0.11}
{'loss': 2.1395, 'grad_norm': 6.105935096740723, 'learning_rate': 0.00029963657916745666, 'epoch': 0.11}

  3%|████▊                                                                                                                                                | 59/1850 [00:08<04:08,  7.21it/s]
{'loss': 1.8717, 'grad_norm': 5.570845127105713, 'learning_rate': 0.00029960027484307594, 'epoch': 0.12}
{'loss': 2.0549, 'grad_norm': 6.035246849060059, 'learning_rate': 0.0002995814755418334, 'epoch': 0.12}
{'loss': 2.006, 'grad_norm': 5.87948751449585, 'learning_rate': 0.00029956224488642436, 'epoch': 0.12}
{'loss': 1.7371, 'grad_norm': 5.923860549926758, 'learning_rate': 0.0002995425829323052, 'epoch': 0.12}
{'loss': 2.0315, 'grad_norm': 5.6254448890686035, 'learning_rate': 0.00029952248973617586, 'epoch': 0.13}
{'loss': 1.7002, 'grad_norm': 5.876505374908447, 'learning_rate': 0.0002995019653559798, 'epoch': 0.13}
{'loss': 1.9626, 'grad_norm': 5.792064666748047, 'learning_rate': 0.00029948100985090404, 'epoch': 0.13}
{'loss': 1.9654, 'grad_norm': 5.887829303741455, 'learning_rate': 0.00029945962328137895, 'epoch': 0.14}
{'loss': 1.8826, 'grad_norm': 5.862643718719482, 'learning_rate': 0.0002994378057090777, 'epoch': 0.14}
{'loss': 1.8875, 'grad_norm': 5.352739334106445, 'learning_rate': 0.00029941555719691657, 'epoch': 0.14}
{'loss': 1.869, 'grad_norm': 6.464142799377441, 'learning_rate': 0.00029939287780905444, 'epoch': 0.14}
{'loss': 1.7545, 'grad_norm': 6.108607769012451, 'learning_rate': 0.0002993697676108929, 'epoch': 0.15}
{'loss': 1.7913, 'grad_norm': 5.3294677734375, 'learning_rate': 0.00029934622666907563, 'epoch': 0.15}
{'loss': 1.3925, 'grad_norm': 4.516180515289307, 'learning_rate': 0.00029932225505148864, 'epoch': 0.15}

  4%|██████                                                                                                                                               | 75/1850 [00:10<03:25,  8.65it/s]
{'loss': 1.609, 'grad_norm': 5.009599208831787, 'learning_rate': 0.00029927302006675915, 'epoch': 0.16}
{'loss': 1.5557, 'grad_norm': 5.011481761932373, 'learning_rate': 0.0002992477568415974, 'epoch': 0.16}
{'loss': 1.667, 'grad_norm': 5.252902507781982, 'learning_rate': 0.0002992220632246275, 'epoch': 0.16}
{'loss': 1.5251, 'grad_norm': 5.679326057434082, 'learning_rate': 0.000299195939289943, 'epoch': 0.16}
{'loss': 1.7972, 'grad_norm': 5.079444885253906, 'learning_rate': 0.00029916938511287866, 'epoch': 0.17}
{'loss': 1.7084, 'grad_norm': 5.29866361618042, 'learning_rate': 0.00029914240077000975, 'epoch': 0.17}
{'loss': 1.3702, 'grad_norm': 5.228916168212891, 'learning_rate': 0.00029911498633915213, 'epoch': 0.17}
